COURSE CODE ,"23MCA1CC4   
",,,,,,TITLE OF THE COURSE ,,,,Resource Management Techniques,,,,,,,,,,,,,,Total No. of Students,,,,58.00,,,,,
Register Number,Q.No./ Exam,,LOT,MOT,HOT,TOTAL Not needed for Calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,23,31,8,62.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA064,CIA - I,,22,37,10,69.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,24,23,6,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,46,60,16,122.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,23,29,7,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA065,CIA - I,,16,28,4,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,17,18,7,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,33,46,11,90.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,31,8,61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA066,CIA - I,,13,20,4,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIA - II,,16,19,7,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - I,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ass - II,3,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,29,39,11,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESE,,22,30,8,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23MCA067,CIA - I,,16,23,4,43.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
